node,layer,lat,lon,degree,geometry
922,5,51.74588,-0.58183,4,"-0.58183, 51.74588"
2514,5,51.83175,-0.80429,3,"-0.80429, 51.83175"
4635,5,51.63917,-0.7785,6,"-0.7785, 51.63917"
4685,5,51.55295,-0.73092,4,"-0.73092, 51.55295"
4687,5,51.55197,-0.72667,4,"-0.72667, 51.55197"
4689,5,51.5571,-0.7324,4,"-0.7324, 51.5571"
4691,5,51.55488,-0.73186,4,"-0.73186, 51.55488"
5099,5,51.70352,-0.70914,24,"-0.70914, 51.70352"
5739,5,51.73577,-0.82933,13,"-0.82933, 51.73577"
7124,5,51.6402,-0.82928,6,"-0.82928, 51.6402"
8438,5,51.83117,-0.86018,11,"-0.86018, 51.83117"
9217,5,51.77086,-0.94214,21,"-0.94214, 51.77086"
10138,5,51.58902,-0.55527,32,"-0.55527, 51.58902"
11430,5,51.57282,-0.77234,25,"-0.77234, 51.57282"
12572,5,51.57712,-0.71047,20,"-0.71047, 51.57712"
13156,5,51.75224,-0.80845,16,"-0.80845, 51.75224"
14751,5,51.61746,-0.76221,14,"-0.76221, 51.61746"
16920,5,51.66811,-0.56052,30,"-0.56052, 51.66811"
19015,5,51.8139,-0.81509,33,"-0.81509, 51.8139"
22427,5,51.56329,-0.77402,6,"-0.77402, 51.56329"
22428,5,51.56593,-0.77198,4,"-0.77198, 51.56593"
23825,5,51.55984,-0.71074,4,"-0.71074, 51.55984"
26813,5,51.79575,-0.80406,7,"-0.80406, 51.79575"
28519,5,51.71757,-0.84036,32,"-0.84036, 51.71757"
30117,5,51.60239,-0.6374,9,"-0.6374, 51.60239"
31922,5,51.76176,-0.74737,16,"-0.74737, 51.76176"
32927,5,51.67421,-0.60759,34,"-0.60759, 51.67421"
33667,5,51.6759,-0.82547,12,"-0.82547, 51.6759"
34868,5,51.7878,-0.78408,17,"-0.78408, 51.7878"
37324,5,51.61129,-0.64382,23,"-0.64382, 51.61129"
38102,5,51.60967,-0.60743,18,"-0.60743, 51.60967"
38510,5,51.55746,-0.72208,17,"-0.72208, 51.55746"
39569,5,51.55839,-0.7449,4,"-0.7449, 51.55839"
41430,5,51.55008,-0.74664,4,"-0.74664, 51.55008"
42467,5,51.62959,-0.74541,32,"-0.74541, 51.62959"
45077,5,51.5502,-0.7274,5,"-0.7274, 51.5502"
45308,5,51.53108,-0.78893,5,"-0.78893, 51.53108"
45309,5,51.56285,-0.74368,4,"-0.74368, 51.56285"
45405,5,51.6602,-0.90207,12,"-0.90207, 51.6602"
49616,5,51.70521,-0.61124,21,"-0.61124, 51.70521"
50313,5,51.63133,-0.75647,26,"-0.75647, 51.63133"
52143,5,51.62108,-0.83178,3,"-0.83178, 51.62108"
52144,5,51.62188,-0.83222,3,"-0.83222, 51.62188"
52145,5,51.62318,-0.83082,4,"-0.83082, 51.62318"
52146,5,51.62316,-0.82351,2,"-0.82351, 51.62316"
52147,5,51.62331,-0.82407,2,"-0.82407, 51.62331"
52148,5,51.62203,-0.81637,2,"-0.81637, 51.62203"
52149,5,51.61959,-0.83435,6,"-0.83435, 51.61959"
52150,5,51.62288,-0.83412,2,"-0.83412, 51.62288"
52151,5,51.62273,-0.83453,3,"-0.83453, 51.62273"
52152,5,51.62332,-0.83066,2,"-0.83066, 51.62332"
52446,5,51.57504,-0.56895,2,"-0.56895, 51.57504"
52447,5,51.57505,-0.56926,2,"-0.56926, 51.57505"
52698,5,51.71046,-0.68189,2,"-0.68189, 51.71046"
53100,5,51.65884,-0.91399,2,"-0.91399, 51.65884"
53101,5,51.55547,-0.84965,2,"-0.84965, 51.55547"
53102,5,51.60509,-0.71288,2,"-0.71288, 51.60509"
53103,5,51.60467,-0.71326,2,"-0.71326, 51.60467"
53104,5,51.60476,-0.71048,2,"-0.71048, 51.60476"
53105,5,51.6047,-0.71054,2,"-0.71054, 51.6047"
53106,5,51.60299,-0.70707,3,"-0.70707, 51.60299"
53107,5,51.60267,-0.70787,3,"-0.70787, 51.60267"
53108,5,51.55538,-0.84977,2,"-0.84977, 51.55538"
53626,5,51.61502,-0.7086,4,"-0.7086, 51.61502"
53627,5,51.62696,-0.71735,2,"-0.71735, 51.62696"
53628,5,51.6161,-0.71208,4,"-0.71208, 51.6161"
53629,5,51.62411,-0.72005,2,"-0.72005, 51.62411"
53630,5,51.61837,-0.71658,3,"-0.71658, 51.61837"
53631,5,51.63211,-0.71027,2,"-0.71027, 51.63211"
53632,5,51.62082,-0.72142,5,"-0.72142, 51.62082"
53633,5,51.62679,-0.72332,2,"-0.72332, 51.62679"
53634,5,51.61169,-0.70301,4,"-0.70301, 51.61169"
54485,5,51.6414,-0.73463,4,"-0.73463, 51.6414"
54888,5,51.81515,-0.8001,2,"-0.8001, 51.81515"
54894,5,51.81515,-0.79738,2,"-0.79738, 51.81515"
55333,5,51.63991,-0.77378,2,"-0.77378, 51.63991"
55334,5,51.64792,-0.77676,2,"-0.77676, 51.64792"
55335,5,51.64023,-0.77767,2,"-0.77767, 51.64023"
55336,5,51.64592,-0.77801,2,"-0.77801, 51.64592"
55337,5,51.63788,-0.76858,2,"-0.76858, 51.63788"
55338,5,51.64447,-0.78273,2,"-0.78273, 51.64447"
55339,5,51.63981,-0.77111,2,"-0.77111, 51.63981"
55340,5,51.64192,-0.78254,2,"-0.78254, 51.64192"
55341,5,51.64487,-0.77581,2,"-0.77581, 51.64487"
55342,5,51.64043,-0.78024,5,"-0.78024, 51.64043"
55503,5,51.70917,-0.61778,2,"-0.61778, 51.70917"
56169,5,51.78987,-0.96166,2,"-0.96166, 51.78987"
56175,5,51.78629,-0.83652,2,"-0.83652, 51.78629"
57037,5,51.55798,-0.72604,2,"-0.72604, 51.55798"
57785,5,51.66366,-0.69737,2,"-0.69737, 51.66366"
57793,5,51.66251,-0.70091,2,"-0.70091, 51.66251"
58201,5,51.67165,-0.60723,2,"-0.60723, 51.67165"
58202,5,51.67151,-0.60731,2,"-0.60731, 51.67151"
58203,5,51.67828,-0.60589,5,"-0.60589, 51.67828"
58204,5,51.67807,-0.60587,7,"-0.60587, 51.67807"
58205,5,51.68144,-0.60306,3,"-0.60306, 51.68144"
58353,5,51.70945,-0.5916,3,"-0.5916, 51.70945"
58563,5,51.6325,-0.72839,2,"-0.72839, 51.6325"
58564,5,51.62951,-0.73847,3,"-0.73847, 51.62951"
58565,5,51.63946,-0.72201,2,"-0.72201, 51.63946"
58566,5,51.6416,-0.72312,3,"-0.72312, 51.6416"
58567,5,51.63454,-0.72519,3,"-0.72519, 51.63454"
58568,5,51.63712,-0.72274,3,"-0.72274, 51.63712"
59256,5,51.70016,-0.91075,2,"-0.91075, 51.70016"
59876,5,51.77409,-0.72919,2,"-0.72919, 51.77409"
59877,5,51.77605,-0.72716,4,"-0.72716, 51.77605"
59878,5,51.77187,-0.73129,2,"-0.73129, 51.77187"
59879,5,51.77405,-0.72904,2,"-0.72904, 51.77405"
60470,5,51.57398,-0.53263,2,"-0.53263, 51.57398"
60471,5,51.57495,-0.53729,2,"-0.53729, 51.57495"
60472,5,51.57293,-0.52673,2,"-0.52673, 51.57293"
60473,5,51.57398,-0.53118,2,"-0.53118, 51.57398"
60474,5,51.57149,-0.52053,3,"-0.52053, 51.57149"
60475,5,51.57323,-0.52676,2,"-0.52676, 51.57323"
60477,5,51.57165,-0.5196,3,"-0.5196, 51.57165"
60478,5,51.57604,-0.54206,2,"-0.54206, 51.57604"
60479,5,51.57596,-0.54142,2,"-0.54142, 51.57596"
60975,5,51.82191,-0.82104,2,"-0.82104, 51.82191"
60976,5,51.82247,-0.82417,2,"-0.82417, 51.82247"
60977,5,51.82264,-0.8244,2,"-0.8244, 51.82264"
60978,5,51.8239,-0.82987,2,"-0.82987, 51.8239"
60979,5,51.82385,-0.83032,4,"-0.83032, 51.82385"
60980,5,51.82452,-0.83274,4,"-0.83274, 51.82452"
60981,5,51.82544,-0.83731,5,"-0.83731, 51.82544"
60982,5,51.82553,-0.83722,3,"-0.83722, 51.82553"
61133,5,51.70338,-0.9057,2,"-0.9057, 51.70338"
61891,5,51.62115,-0.80675,2,"-0.80675, 51.62115"
61892,5,51.62192,-0.81687,2,"-0.81687, 51.62192"
61894,5,51.61667,-0.83681,2,"-0.83681, 51.61667"
61895,5,51.61638,-0.83678,3,"-0.83678, 51.61638"
61896,5,51.61856,-0.83599,3,"-0.83599, 51.61856"
61897,5,51.61716,-0.83064,4,"-0.83064, 51.61716"
61898,5,51.61716,-0.83039,5,"-0.83039, 51.61716"
61899,5,51.60919,-0.79893,2,"-0.79893, 51.60919"
61900,5,51.60884,-0.79927,2,"-0.79927, 51.60884"
61901,5,51.62113,-0.80695,2,"-0.80695, 51.62113"
62147,5,51.57877,-0.56287,2,"-0.56287, 51.57877"
62148,5,51.57901,-0.56247,2,"-0.56247, 51.57901"
62149,5,51.57763,-0.56399,2,"-0.56399, 51.57763"
62150,5,51.57729,-0.56414,2,"-0.56414, 51.57729"
62151,5,51.58615,-0.55594,4,"-0.55594, 51.58615"
62152,5,51.58659,-0.55493,3,"-0.55493, 51.58659"
62153,5,51.58174,-0.5599,2,"-0.5599, 51.58174"
62154,5,51.58238,-0.55909,2,"-0.55909, 51.58238"
62597,5,51.82281,-0.79194,2,"-0.79194, 51.82281"
62598,5,51.82529,-0.79535,2,"-0.79535, 51.82529"
62600,5,51.82415,-0.79373,2,"-0.79373, 51.82415"
62601,5,51.82334,-0.79088,2,"-0.79088, 51.82334"
62790,5,51.58392,-0.74867,3,"-0.74867, 51.58392"
62791,5,51.58408,-0.74041,2,"-0.74041, 51.58408"
62792,5,51.58298,-0.71654,2,"-0.71654, 51.58298"
62793,5,51.58305,-0.71648,2,"-0.71648, 51.58305"
62794,5,51.6057,-0.719,4,"-0.719, 51.6057"
62795,5,51.60542,-0.71871,2,"-0.71871, 51.60542"
62796,5,51.62267,-0.76354,2,"-0.76354, 51.62267"
62797,5,51.62487,-0.76938,2,"-0.76938, 51.62487"
63017,5,51.60722,-0.56837,3,"-0.56837, 51.60722"
63018,5,51.60527,-0.56792,2,"-0.56792, 51.60527"
63019,5,51.60603,-0.56267,2,"-0.56267, 51.60603"
63020,5,51.60749,-0.56928,3,"-0.56928, 51.60749"
63021,5,51.60688,-0.55791,2,"-0.55791, 51.60688"
63022,5,51.60612,-0.56102,2,"-0.56102, 51.60612"
63023,5,51.61159,-0.55605,3,"-0.55605, 51.61159"
63024,5,51.60715,-0.55735,2,"-0.55735, 51.60715"
63025,5,51.61155,-0.55008,2,"-0.55008, 51.61155"
63310,5,51.62948,-0.71974,3,"-0.71974, 51.62948"
63311,5,51.63291,-0.71474,2,"-0.71474, 51.63291"
63313,5,51.63888,-0.72233,3,"-0.72233, 51.63888"
63314,5,51.62802,-0.72456,2,"-0.72456, 51.62802"
63315,5,51.63751,-0.72279,3,"-0.72279, 51.63751"
63316,5,51.6288,-0.72786,2,"-0.72786, 51.6288"
63317,5,51.63239,-0.72182,2,"-0.72182, 51.63239"
63318,5,51.63489,-0.71687,2,"-0.71687, 51.63489"
63319,5,51.62599,-0.72291,2,"-0.72291, 51.62599"
63546,5,51.71273,-0.67815,2,"-0.67815, 51.71273"
64303,5,51.65702,-0.7094,4,"-0.7094, 51.65702"
64926,5,51.64112,-0.78511,2,"-0.78511, 51.64112"
64927,5,51.63141,-0.76057,3,"-0.76057, 51.63141"
64928,5,51.64007,-0.78165,6,"-0.78165, 51.64007"
64929,5,51.64397,-0.79412,3,"-0.79412, 51.64397"
64930,5,51.64226,-0.78852,2,"-0.78852, 51.64226"
64931,5,51.64207,-0.78822,2,"-0.78822, 51.64207"
64932,5,51.63218,-0.76354,2,"-0.76354, 51.63218"
65459,5,51.69601,-0.82062,2,"-0.82062, 51.69601"
66156,5,51.80565,-0.74975,2,"-0.74975, 51.80565"
66170,5,51.81007,-0.76865,3,"-0.76865, 51.81007"
66227,5,51.72407,-0.62152,2,"-0.62152, 51.72407"
66228,5,51.72165,-0.61964,3,"-0.61964, 51.72165"
66229,5,51.67426,-0.53063,2,"-0.53063, 51.67426"
66230,5,51.66937,-0.52333,2,"-0.52333, 51.66937"
66231,5,51.66887,-0.52287,2,"-0.52287, 51.66887"
66232,5,51.72212,-0.62008,3,"-0.62008, 51.72212"
66584,5,51.71709,-0.88294,2,"-0.88294, 51.71709"
66585,5,51.63403,-0.75254,2,"-0.75254, 51.63403"
66586,5,51.71711,-0.88312,2,"-0.88312, 51.71711"
67866,5,51.64975,-0.66418,2,"-0.66418, 51.64975"
67867,5,51.64807,-0.6609,2,"-0.6609, 51.64807"
67868,5,51.65392,-0.66725,2,"-0.66725, 51.65392"
67869,5,51.65201,-0.66709,2,"-0.66709, 51.65201"
67870,5,51.64792,-0.65469,2,"-0.65469, 51.64792"
68231,5,51.6348,-0.69132,5,"-0.69132, 51.6348"
68233,5,51.6355,-0.69432,3,"-0.69432, 51.6355"
68234,5,51.64799,-0.73386,2,"-0.73386, 51.64799"
68235,5,51.63648,-0.70088,2,"-0.70088, 51.63648"
68236,5,51.63541,-0.69437,2,"-0.69437, 51.63541"
68237,5,51.63811,-0.698,2,"-0.698, 51.63811"
68238,5,51.63689,-0.70141,2,"-0.70141, 51.63689"
68239,5,51.63931,-0.69405,2,"-0.69405, 51.63931"
68240,5,51.63806,-0.69838,2,"-0.69838, 51.63806"
68496,5,51.77346,-0.91958,4,"-0.91958, 51.77346"
69457,5,51.79276,-0.75041,2,"-0.75041, 51.79276"
69458,5,51.76508,-0.74363,3,"-0.74363, 51.76508"
69717,5,51.62402,-0.77756,2,"-0.77756, 51.62402"
69718,5,51.61703,-0.77837,2,"-0.77837, 51.61703"
69719,5,51.62505,-0.71296,2,"-0.71296, 51.62505"
69720,5,51.62882,-0.71984,3,"-0.71984, 51.62882"
69721,5,51.64472,-0.80131,3,"-0.80131, 51.64472"
69722,5,51.62739,-0.72026,2,"-0.72026, 51.62739"
69723,5,51.63996,-0.82276,2,"-0.82276, 51.63996"
69724,5,51.62541,-0.72052,2,"-0.72052, 51.62541"
70433,5,51.81722,-0.83929,1,"-0.83929, 51.81722"
70492,5,51.76278,-0.96502,2,"-0.96502, 51.76278"
70508,5,51.8273,-0.8172,3,"-0.8172, 51.8273"
70509,5,51.8258,-0.82273,4,"-0.82273, 51.8258"
70510,5,51.8272,-0.81707,2,"-0.81707, 51.8272"
71085,5,51.55728,-0.82038,2,"-0.82038, 51.55728"
71086,5,51.60076,-0.70928,3,"-0.70928, 51.60076"
71400,5,51.61204,-0.84066,2,"-0.84066, 51.61204"
71401,5,51.61222,-0.8405,2,"-0.8405, 51.61222"
72366,5,51.60231,-0.69568,2,"-0.69568, 51.60231"
72369,5,51.56082,-0.89787,2,"-0.89787, 51.56082"
72499,5,51.60015,-0.56201,2,"-0.56201, 51.60015"
72500,5,51.60296,-0.56519,2,"-0.56519, 51.60296"
72501,5,51.59734,-0.55749,2,"-0.55749, 51.59734"
72502,5,51.60019,-0.56183,2,"-0.56183, 51.60019"
72503,5,51.59709,-0.55686,2,"-0.55686, 51.59709"
72504,5,51.60672,-0.57025,3,"-0.57025, 51.60672"
72505,5,51.60672,-0.57013,3,"-0.57013, 51.60672"
72508,5,51.60294,-0.56528,2,"-0.56528, 51.60294"
72509,5,51.60517,-0.56755,2,"-0.56755, 51.60517"
72821,5,51.63216,-0.71011,2,"-0.71011, 51.63216"
72822,5,51.62755,-0.71777,2,"-0.71777, 51.62755"
72823,5,51.6297,-0.71136,2,"-0.71136, 51.6297"
72825,5,51.62774,-0.71346,4,"-0.71346, 51.62774"
72826,5,51.63029,-0.71117,2,"-0.71117, 51.63029"
72827,5,51.62434,-0.71721,2,"-0.71721, 51.62434"
72828,5,51.6327,-0.71368,3,"-0.71368, 51.6327"
74373,5,51.63263,-0.75781,2,"-0.75781, 51.63263"
74374,5,51.64013,-0.78148,4,"-0.78148, 51.64013"
74375,5,51.63349,-0.76011,3,"-0.76011, 51.63349"
74376,5,51.63542,-0.766,3,"-0.766, 51.63542"
74377,5,51.63574,-0.76434,2,"-0.76434, 51.63574"
74378,5,51.63687,-0.77065,2,"-0.77065, 51.63687"
74381,5,51.64128,-0.78525,2,"-0.78525, 51.64128"
74382,5,51.63485,-0.76454,3,"-0.76454, 51.63485"
75716,5,51.67235,-0.53084,2,"-0.53084, 51.67235"
75717,5,51.67433,-0.5306,2,"-0.5306, 51.67433"
75718,5,51.67085,-0.53815,3,"-0.53815, 51.67085"
75719,5,51.6727,-0.53113,2,"-0.53113, 51.6727"
75720,5,51.67038,-0.54934,2,"-0.54934, 51.67038"
75721,5,51.67103,-0.53717,3,"-0.53717, 51.67103"
75722,5,51.66975,-0.55298,2,"-0.55298, 51.66975"
75723,5,51.67061,-0.54847,2,"-0.54847, 51.67061"
76406,5,51.55324,-0.72303,2,"-0.72303, 51.55324"
77443,5,51.69821,-0.91549,2,"-0.91549, 51.69821"
77453,5,51.80804,-0.81184,2,"-0.81184, 51.80804"
77454,5,51.7996,-0.80668,3,"-0.80668, 51.7996"
77456,5,51.80247,-0.80337,2,"-0.80337, 51.80247"
77458,5,51.80212,-0.80801,3,"-0.80801, 51.80212"
77459,5,51.80231,-0.80792,3,"-0.80792, 51.80231"
77460,5,51.80342,-0.8053,2,"-0.8053, 51.80342"
77461,5,51.8031,-0.8071,3,"-0.8071, 51.8031"
77462,5,51.80375,-0.80315,2,"-0.80315, 51.80375"
77463,5,51.8035,-0.80471,2,"-0.80471, 51.8035"
77502,5,51.66347,-0.61937,2,"-0.61937, 51.66347"
77503,5,51.66364,-0.61942,2,"-0.61942, 51.66364"
77506,5,51.6531,-0.64412,3,"-0.64412, 51.6531"
77507,5,51.64951,-0.64996,3,"-0.64996, 51.64951"
77508,5,51.65917,-0.62755,3,"-0.62755, 51.65917"
77509,5,51.65953,-0.62689,3,"-0.62689, 51.65953"
77511,5,51.65751,-0.63363,3,"-0.63363, 51.65751"
77880,5,51.63952,-0.69363,2,"-0.69363, 51.63952"
77881,5,51.64325,-0.69505,3,"-0.69505, 51.64325"
77882,5,51.64555,-0.69655,3,"-0.69655, 51.64555"
77883,5,51.64623,-0.69848,2,"-0.69848, 51.64623"
77884,5,51.64396,-0.69561,3,"-0.69561, 51.64396"
77885,5,51.64588,-0.69664,2,"-0.69664, 51.64588"
77886,5,51.64401,-0.70152,2,"-0.70152, 51.64401"
77887,5,51.64658,-0.70756,2,"-0.70756, 51.64658"
77888,5,51.64625,-0.69797,2,"-0.69797, 51.64625"
78134,5,51.64625,-0.57591,2,"-0.57591, 51.64625"
79198,5,51.76611,-0.74434,4,"-0.74434, 51.76611"
79199,5,51.76819,-0.74526,2,"-0.74526, 51.76819"
79202,5,51.78351,-0.76122,2,"-0.76122, 51.78351"
79203,5,51.78398,-0.76135,2,"-0.76135, 51.78398"
79205,5,51.77442,-0.75472,3,"-0.75472, 51.77442"
79206,5,51.76765,-0.74513,2,"-0.74513, 51.76765"
79207,5,51.77146,-0.74801,3,"-0.74801, 51.77146"
79477,5,51.64994,-0.86085,2,"-0.86085, 51.64994"
79478,5,51.64891,-0.85779,3,"-0.85779, 51.64891"
79479,5,51.64147,-0.83376,3,"-0.83376, 51.64147"
79480,5,51.62464,-0.72093,3,"-0.72093, 51.62464"
79716,5,51.79001,-0.96145,2,"-0.96145, 51.79001"
79717,5,51.79342,-0.93185,3,"-0.93185, 51.79342"
79720,5,51.79343,-0.93123,2,"-0.93123, 51.79343"
79722,5,51.79258,-0.93021,3,"-0.93021, 51.79258"
79767,5,51.57484,-0.53745,2,"-0.53745, 51.57484"
80226,5,51.82071,-0.81524,3,"-0.81524, 51.82071"
80227,5,51.82495,-0.81454,2,"-0.81454, 51.82495"
80228,5,51.82318,-0.79703,4,"-0.79703, 51.82318"
80229,5,51.82075,-0.81542,4,"-0.81542, 51.82075"
80232,5,51.82619,-0.81477,2,"-0.81477, 51.82619"
80411,5,51.70409,-0.61547,2,"-0.61547, 51.70409"
80788,5,51.79591,-0.81992,2,"-0.81992, 51.79591"
80789,5,51.79923,-0.82161,2,"-0.82161, 51.79923"
80791,5,51.8018,-0.82417,2,"-0.82417, 51.8018"
80793,5,51.80103,-0.82241,2,"-0.82241, 51.80103"
81013,5,51.69129,-0.80714,2,"-0.80714, 51.69129"
81024,5,51.69472,-0.81031,2,"-0.81031, 51.69472"
81025,5,51.70191,-0.81982,3,"-0.81982, 51.70191"
81027,5,51.70814,-0.82937,3,"-0.82937, 51.70814"
81055,5,51.64066,-0.7348,2,"-0.7348, 51.64066"
81083,5,51.66085,-0.85618,2,"-0.85618, 51.66085"
81084,5,51.66331,-0.85866,2,"-0.85866, 51.66331"
81085,5,51.66335,-0.8586,2,"-0.8586, 51.66335"
81086,5,51.66367,-0.86743,2,"-0.86743, 51.66367"
81087,5,51.63085,-0.84123,2,"-0.84123, 51.63085"
81088,5,51.63127,-0.8411,2,"-0.8411, 51.63127"
81089,5,51.62822,-0.84446,2,"-0.84446, 51.62822"
81090,5,51.62828,-0.84454,2,"-0.84454, 51.62828"
81091,5,51.63253,-0.84004,2,"-0.84004, 51.63253"
81092,5,51.63285,-0.8399,2,"-0.8399, 51.63285"
82244,5,51.62683,-0.56248,2,"-0.56248, 51.62683"
82245,5,51.62693,-0.56273,2,"-0.56273, 51.62693"
82249,5,51.61513,-0.55701,2,"-0.55701, 51.61513"
82250,5,51.61552,-0.55736,2,"-0.55736, 51.61552"
82251,5,51.6233,-0.55963,2,"-0.55963, 51.6233"
82252,5,51.62395,-0.56014,2,"-0.56014, 51.62395"
82253,5,51.61967,-0.55768,2,"-0.55768, 51.61967"
82254,5,51.61901,-0.55774,2,"-0.55774, 51.61901"
82369,5,51.66306,-0.73459,4,"-0.73459, 51.66306"
82373,5,51.63455,-0.72251,4,"-0.72251, 51.63455"
82374,5,51.63767,-0.72494,2,"-0.72494, 51.63767"
82533,5,51.64157,-0.75054,2,"-0.75054, 51.64157"
82534,5,51.63946,-0.75923,2,"-0.75923, 51.63946"
82535,5,51.60763,-0.69615,3,"-0.69615, 51.60763"
82536,5,51.63911,-0.75344,3,"-0.75344, 51.63911"
82537,5,51.639,-0.75687,2,"-0.75687, 51.639"
82538,5,51.61169,-0.7026,3,"-0.7026, 51.61169"
82539,5,51.65149,-0.74885,2,"-0.74885, 51.65149"
82540,5,51.6096,-0.69921,4,"-0.69921, 51.6096"
85421,5,51.67044,-0.57932,3,"-0.57932, 51.67044"
85422,5,51.67121,-0.5837,2,"-0.5837, 51.67121"
85423,5,51.67113,-0.58271,2,"-0.58271, 51.67113"
85424,5,51.67189,-0.58697,2,"-0.58697, 51.67189"
85425,5,51.66755,-0.567,2,"-0.567, 51.66755"
85426,5,51.66992,-0.57756,3,"-0.57756, 51.66992"
85427,5,51.66954,-0.57504,2,"-0.57504, 51.66954"
85428,5,51.6704,-0.57972,2,"-0.57972, 51.6704"
85429,5,51.66731,-0.56672,2,"-0.56672, 51.66731"
85791,5,51.74291,-0.83125,2,"-0.83125, 51.74291"
85792,5,51.74901,-0.87581,2,"-0.87581, 51.74901"
85793,5,51.60531,-0.69116,3,"-0.69116, 51.60531"
85794,5,51.74243,-0.832,2,"-0.832, 51.74243"
85795,5,51.74908,-0.87546,2,"-0.87546, 51.74908"
85797,5,51.60219,-0.68537,3,"-0.68537, 51.60219"
85798,5,51.60511,-0.69106,3,"-0.69106, 51.60511"
86085,5,51.61632,-0.55238,2,"-0.55238, 51.61632"
86700,5,51.81728,-0.78573,2,"-0.78573, 51.81728"
86702,5,51.81706,-0.78251,2,"-0.78251, 51.81706"
87136,5,51.80746,-0.81175,2,"-0.81175, 51.80746"
87137,5,51.80604,-0.81243,2,"-0.81243, 51.80604"
87138,5,51.80544,-0.81234,2,"-0.81234, 51.80544"
87204,5,51.66763,-0.69091,2,"-0.69091, 51.66763"
87205,5,51.66527,-0.69371,2,"-0.69371, 51.66527"
87206,5,51.66525,-0.69397,2,"-0.69397, 51.66525"
87207,5,51.66409,-0.69646,2,"-0.69646, 51.66409"
87208,5,51.66277,-0.69989,2,"-0.69989, 51.66277"
87742,5,51.61469,-0.62565,2,"-0.62565, 51.61469"
87743,5,51.61495,-0.62627,2,"-0.62627, 51.61495"
87744,5,51.59869,-0.67125,2,"-0.67125, 51.59869"
87745,5,51.6052,-0.66747,2,"-0.66747, 51.6052"
87746,5,51.5987,-0.67108,2,"-0.67108, 51.5987"
87747,5,51.59974,-0.66832,5,"-0.66832, 51.59974"
87748,5,51.60512,-0.66751,2,"-0.66751, 51.60512"
87749,5,51.59955,-0.66502,2,"-0.66502, 51.59955"
87750,5,51.59943,-0.67032,3,"-0.67032, 51.59943"
88250,5,51.65132,-0.74912,2,"-0.74912, 51.65132"
88861,5,51.81171,-0.79236,2,"-0.79236, 51.81171"
88864,5,51.77615,-0.92145,2,"-0.92145, 51.77615"
88865,5,51.77829,-0.92303,2,"-0.92303, 51.77829"
88866,5,51.77334,-0.91962,4,"-0.91962, 51.77334"
88867,5,51.77618,-0.92155,2,"-0.92155, 51.77618"
88909,5,51.78582,-0.77477,2,"-0.77477, 51.78582"
88910,5,51.78864,-0.76558,2,"-0.76558, 51.78864"
88911,5,51.77522,-0.75611,2,"-0.75611, 51.77522"
88912,5,51.78559,-0.77597,2,"-0.77597, 51.78559"
88913,5,51.77932,-0.76758,2,"-0.76758, 51.77932"
88914,5,51.77927,-0.7673,2,"-0.7673, 51.77927"
88915,5,51.78321,-0.77342,2,"-0.77342, 51.78321"
88916,5,51.78295,-0.77266,2,"-0.77266, 51.78295"
88917,5,51.78612,-0.77746,3,"-0.77746, 51.78612"
88918,5,51.78459,-0.77552,2,"-0.77552, 51.78459"
89020,5,51.59069,-0.78365,2,"-0.78365, 51.59069"
89154,5,51.65718,-0.89413,2,"-0.89413, 51.65718"
89156,5,51.65762,-0.89547,2,"-0.89547, 51.65762"
89157,5,51.66153,-0.90932,3,"-0.90932, 51.66153"
89158,5,51.64141,-0.83388,3,"-0.83388, 51.64141"
89159,5,51.65896,-0.89858,4,"-0.89858, 51.65896"
89160,5,51.65701,-0.88751,5,"-0.88751, 51.65701"
89161,5,51.65736,-0.89433,2,"-0.89433, 51.65736"
89162,5,51.65065,-0.86418,3,"-0.86418, 51.65065"
89163,5,51.65711,-0.88809,4,"-0.88809, 51.65711"
89864,5,51.82621,-0.82986,2,"-0.82986, 51.82621"
89865,5,51.82755,-0.83173,2,"-0.83173, 51.82755"
89866,5,51.82922,-0.8325,3,"-0.8325, 51.82922"
89867,5,51.82982,-0.83661,2,"-0.83661, 51.82982"
89868,5,51.83004,-0.83962,2,"-0.83962, 51.83004"
90640,5,51.80946,-0.77664,7,"-0.77664, 51.80946"
90657,5,51.80604,-0.78638,2,"-0.78638, 51.80604"
90722,5,51.65587,-0.88962,2,"-0.88962, 51.65587"
90723,5,51.66375,-0.8678,2,"-0.8678, 51.66375"
90724,5,51.6252,-0.84787,2,"-0.84787, 51.6252"
90725,5,51.65542,-0.88991,2,"-0.88991, 51.65542"
90726,5,51.62374,-0.84922,3,"-0.84922, 51.62374"
90727,5,51.65298,-0.89209,2,"-0.89209, 51.65298"
90728,5,51.6216,-0.84686,3,"-0.84686, 51.6216"
90729,5,51.62561,-0.84741,2,"-0.84741, 51.62561"
90730,5,51.65887,-0.87313,3,"-0.87313, 51.65887"
90731,5,51.66361,-0.86426,2,"-0.86426, 51.66361"
91050,5,51.77322,-0.92845,3,"-0.92845, 51.77322"
91056,5,51.66822,-0.84095,2,"-0.84095, 51.66822"
91858,5,51.61184,-0.55171,2,"-0.55171, 51.61184"
91859,5,51.61174,-0.54754,2,"-0.54754, 51.61174"
91860,5,51.61181,-0.54682,2,"-0.54682, 51.61181"
91861,5,51.61542,-0.54738,2,"-0.54738, 51.61542"
91862,5,51.6154,-0.54751,2,"-0.54751, 51.6154"
